KEY_CODE,HYOSYO,CITYNAME,NAME,HTKSYORI,HTKSAKI,GASSAN,T000866001,T000866002,T000866003,T000866004,T000866005,T000866006,T000866007,T000866008,T000866009,T000866010,T000866011,T000866012,T000866013
,,,,,,,総数,Ａ　管理的職業従事者,Ｂ　専門的・技術的職業従事者,Ｃ　事務従事者,Ｄ　販売従事者,Ｅ　サービス職業従事者,Ｆ　保安職業従事者,Ｇ　農林漁業従事者,Ｈ　生産工程従事者,Ｉ　輸送・機械運転従事者,Ｊ　建設・採掘従事者,Ｋ　運搬・清掃・包装等従事者,Ｌ　分類不能の職業
1235075002,3,石狩市,樽川五条２丁目,0,,,88,-,13,22,12,7,3,1,12,4,8,1,5
1235075003,3,石狩市,樽川五条３丁目,1,,76003,53,1,5,10,8,2,1,1,5,5,3,2,10
12350760,2,石狩市,樽川六条,0,,,X,X,X,X,X,X,X,X,X,X,X,X,X
1235076001,3,石狩市,樽川六条１丁目,0,,,-,-,-,-,-,-,-,-,-,-,-,-,-
1235076002,3,石狩市,樽川六条２丁目,0,,,-,-,-,-,-,-,-,-,-,-,-,-,-
1235076003,3,石狩市,樽川六条３丁目,2,75003,,X,X,X,X,X,X,X,X,X,X,X,X,X
12350770,2,石狩市,樽川七条,0,,,652,11,109,217,108,48,18,1,32,18,28,53,9
1235077001,3,石狩市,樽川七条１丁目,0,,,170,3,32,53,34,10,4,-,5,2,10,12,5
1235077002,3,石狩市,樽川七条２丁目,0,,,225,7,32,69,36,22,6,1,10,8,4,26,4
1235077003,3,石狩市,樽川七条３丁目,0,,,257,1,45,95,38,16,8,-,17,8,14,15,-
12350780,2,石狩市,樽川八条,0,,,337,9,45,74,50,32,7,3,41,15,25,24,12
1235078001,3,石狩市,樽川八条１丁目,0,,,92,6,10,25,10,8,3,-,8,2,11,6,3
1235078002,3,石狩市,樽川八条２丁目,0,,,63,-,7,18,9,6,-,1,11,3,6,2,-
1235078003,3,石狩市,樽川八条３丁目,0,,,182,3,28,31,31,18,4,2,22,10,8,16,9
12350790,2,石狩市,樽川九条,0,,,575,2,75,136,93,62,11,3,47,34,42,49,21
1235079001,3,石狩市,樽川九条１丁目,0,,,193,1,15,48,29,27,4,2,22,6,15,13,11
1235079002,3,石狩市,樽川九条２丁目,0,,,277,-,53,64,49,20,7,1,18,17,17,25,6
1235079003,3,石狩市,樽川九条３丁目,0,,,105,1,7,24,15,15,-,-,7,11,10,11,4
12350800,2,石狩市,花畔,0,,,254,2,20,33,23,21,6,35,31,16,25,30,12
12350810,2,石狩市,花畔一条,1,,081001;081002,55,3,6,11,8,7,1,1,5,2,5,5,1
1235081001,3,石狩市,花畔一条１丁目,2,810,,X,X,X,X,X,X,X,X,X,X,X,X,X
1235081002,3,石狩市,花畔一条２丁目,2,810,,X,X,X,X,X,X,X,X,X,X,X,X,X
12350820,2,石狩市,花畔二条,0,,,342,11,32,64,41,33,6,12,46,28,25,33,11
