KEY_CODE,HYOSYO,CITYNAME,NAME,HTKSYORI,HTKSAKI,GASSAN,T000865001,T000865002,T000865003,T000865004,T000865005,T000865006,T000865007,T000865008,T000865009,T000865010,T000865011,T000865012,T000865013,T000865014,T000865015,T000865016,T000865017,T000865018,T000865019,T000865020,T000865021,T000865022,T000865023,T000865024,T000865025
,,,,,,,総数,Ａ　農業、林業,　うち農業,Ｂ　漁業,Ｃ　鉱業、採石業、砂利採取業,Ｄ　建設業,Ｅ　製造業,Ｆ　電気・ガス・熱供給・水道業,Ｇ　情報通信業,Ｈ　運輸業、郵便業,Ｉ　卸売業、小売業,Ｊ　金融業、保険業,Ｋ　不動産業、物品賃貸業,Ｌ　学術研究、専門・技術サービス業,Ｍ　宿泊業、飲食サービス業,Ｎ　生活関連サービス業、娯楽業,Ｏ　教育、学習支援業,Ｐ　医療、福祉,Ｑ　複合サービス事業,Ｒ　サービス業（他に分類されないもの）,Ｓ　公務（他に分類されるものを除く）,Ｔ　分類不能の産業,雇用者（役員を含む）,自営業主（家庭内職者を含む）,家族従業者
1101120217,3,札幌市中央区,宮の森二条１７丁目,0,,,189,-,-,-,-,5,7,2,12,6,36,6,3,19,14,11,17,25,2,10,3,11,157,17,5
11011203,2,札幌市中央区,宮の森三条,0,,,2330,14,6,-,-,81,112,9,113,49,345,102,83,142,119,77,183,460,16,151,95,179,1933,204,42
1101120301,3,札幌市中央区,宮の森三条１丁目,0,,,95,-,-,-,-,4,6,-,3,-,14,3,3,4,5,4,9,20,-,9,8,3,83,11,-
1101120302,3,札幌市中央区,宮の森三条２丁目,0,,,124,-,-,-,-,2,6,-,6,5,17,6,2,8,6,4,9,33,-,4,3,13,98,14,4
1101120303,3,札幌市中央区,宮の森三条３丁目,0,,,199,-,-,-,-,13,6,-,14,6,26,6,10,10,7,4,9,43,2,12,12,19,165,14,4
1101120304,3,札幌市中央区,宮の森三条４丁目,0,,,333,4,-,-,-,5,10,2,15,5,49,13,15,20,14,16,26,60,3,30,19,27,271,32,6
1101120305,3,札幌市中央区,宮の森三条５丁目,0,,,320,-,-,-,-,10,21,-,18,11,48,13,4,23,28,10,16,43,1,24,8,42,255,23,5
1101120306,3,札幌市中央区,宮の森三条６丁目,0,,,285,4,2,-,-,10,18,1,17,5,52,15,6,13,11,10,17,49,4,20,12,21,245,17,1
1101120307,3,札幌市中央区,宮の森三条７丁目,0,,,307,-,-,-,-,12,22,1,14,3,53,22,12,22,14,6,21,67,-,14,13,11,273,20,3
1101120308,3,札幌市中央区,宮の森三条８丁目,0,,,84,-,-,-,-,5,4,2,1,3,11,2,4,2,3,4,5,20,-,3,8,7,74,6,2
1101120309,3,札幌市中央区,宮の森三条９丁目,0,,,83,-,-,-,-,3,3,1,1,1,12,4,2,9,4,3,8,15,-,5,2,10,65,8,2
1101120310,3,札幌市中央区,宮の森三条１０丁目,0,,,224,2,1,-,-,7,9,1,15,6,21,10,10,12,9,10,44,35,2,10,5,16,180,26,6
1101120311,3,札幌市中央区,宮の森三条１１丁目,0,,,93,3,2,-,-,5,3,1,2,2,12,4,6,3,4,1,3,27,1,10,1,5,81,5,2
1101120312,3,札幌市中央区,宮の森三条１２丁目,0,,,113,1,1,-,-,1,2,-,2,2,18,2,7,6,10,4,9,36,-,7,4,2,86,19,5
1101120313,3,札幌市中央区,宮の森三条１３丁目,0,,,70,-,-,-,-,4,2,-,5,-,12,2,2,10,4,1,7,12,3,3,-,3,57,9,2
11011204,2,札幌市中央区,宮の森四条,0,,,1496,6,-,-,-,55,65,6,64,39,230,46,52,94,89,51,140,263,7,88,129,72,1289,128,27
1101120401,3,札幌市中央区,宮の森四条１丁目,0,,,31,-,-,-,-,1,3,-,1,6,4,-,2,-,2,-,1,2,-,2,2,5,24,1,1
1101120402,3,札幌市中央区,宮の森四条２丁目,0,,,175,1,-,-,-,5,4,2,4,6,18,3,4,3,13,7,8,27,-,8,57,5,159,10,1
1101120403,3,札幌市中央区,宮の森四条３丁目,0,,,105,2,-,-,-,3,5,-,1,2,20,7,5,6,5,5,11,14,-,12,3,4,94,7,1
1101120404,3,札幌市中央区,宮の森四条４丁目,0,,,114,1,-,-,-,3,9,1,7,1,21,5,3,11,5,3,10,18,-,5,8,3,100,12,1
1101120405,3,札幌市中央区,宮の森四条５丁目,0,,,171,1,-,-,-,11,5,-,5,4,28,4,4,10,15,4,14,34,1,12,4,15,153,7,1
1101120406,3,札幌市中央区,宮の森四条６丁目,0,,,57,-,-,-,-,1,2,-,4,1,7,9,2,7,4,2,5,7,-,1,3,2,53,4,-
1101120407,3,札幌市中央区,宮の森四条７丁目,0,,,110,-,-,-,-,1,6,-,8,4,16,3,3,10,9,5,8,23,-,7,2,5,87,13,5
1101120408,3,札幌市中央区,宮の森四条８丁目,0,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1101120409,3,札幌市中央区,宮の森四条９丁目,0,,,91,-,-,-,-,-,-,-,2,-,9,1,1,2,3,3,18,6,1,3,34,8,83,1,-
1101120410,3,札幌市中央区,宮の森四条１０丁目,0,,,157,-,-,-,-,10,3,1,10,2,37,3,13,8,4,8,14,28,-,9,2,5,132,18,2
1101120411,3,札幌市中央区,宮の森四条１１丁目,0,,,224,1,-,-,-,12,12,-,12,7,41,6,5,21,17,4,20,33,5,13,7,8,185,28,9
1101120412,3,札幌市中央区,宮の森四条１２丁目,0,,,184,-,-,-,-,6,7,-,8,4,16,4,7,13,9,4,20,56,-,12,7,11,151,19,5
1101120413,3,札幌市中央区,宮の森四条１３丁目,0,,,77,-,-,-,-,2,9,2,2,2,13,1,3,3,3,6,11,15,-,4,-,1,68,8,1
11011300,2,札幌市中央区,双子山,0,,,309,1,-,-,-,9,10,2,15,6,38,12,17,38,17,6,24,51,4,18,10,31,238,45,6
1101130001,3,札幌市中央区,双子山１丁目,0,,,145,-,-,-,-,5,5,1,7,3,24,7,8,16,10,3,11,21,2,7,5,10,113,23,2
1101130002,3,札幌市中央区,双子山２丁目,0,,,93,1,-,-,-,3,2,1,6,1,8,1,2,15,3,2,7,17,2,5,3,14,66,15,3
1101130003,3,札幌市中央区,双子山３丁目,0,,,63,-,-,-,-,1,3,-,2,2,6,4,5,6,4,1,4,12,-,6,2,5,53,5,1
1101130004,3,札幌市中央区,双子山４丁目,0,,,8,-,-,-,-,-,-,-,-,-,-,-,2,1,-,-,2,1,-,-,-,2,6,2,-
11011400,2,札幌市中央区,界川,0,,,306,1,1,-,-,16,11,2,9,5,41,5,23,20,18,14,19,69,1,25,4,23,257,28,8
1101140001,3,札幌市中央区,界川１丁目,0,,,57,-,-,-,-,2,1,1,1,2,11,1,3,2,3,2,3,14,-,9,1,1,43,9,4
1101140002,3,札幌市中央区,界川２丁目,0,,,105,-,-,-,-,5,5,-,1,1,7,2,5,8,12,8,7,22,1,10,1,10,84,13,3
1101140003,3,札幌市中央区,界川３丁目,0,,,144,1,1,-,-,9,5,1,7,2,23,2,15,10,3,4,9,33,-,6,2,12,130,6,1
1101140004,3,札幌市中央区,界川４丁目,0,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11011500,2,札幌市中央区,旭ケ丘,0,,,464,2,1,-,-,27,13,2,17,9,67,14,30,39,25,12,33,106,3,31,9,25,382,53,12
1101150001,3,札幌市中央区,旭ケ丘１丁目,0,,,197,1,1,-,-,14,7,2,4,5,28,6,13,17,9,9,18,40,1,11,3,9,160,25,6
1101150002,3,札幌市中央区,旭ケ丘２丁目,0,,,34,-,-,-,-,-,-,-,1,1,6,1,2,3,2,-,-,10,-,3,2,3,26,5,1
1101150003,3,札幌市中央区,旭ケ丘３丁目,0,,,114,-,-,-,-,7,2,-,4,3,20,5,6,6,8,1,7,28,-,9,-,8,94,9,3
1101150004,3,札幌市中央区,旭ケ丘４丁目,0,,,48,-,-,-,-,1,2,-,2,-,4,1,4,6,3,1,3,11,2,1,3,4,42,5,1
1101150005,3,札幌市中央区,旭ケ丘５丁目,0,,,59,1,-,-,-,5,1,-,5,-,7,1,5,5,3,1,5,12,-,6,1,1,50,8,-
1101150006,3,札幌市中央区,旭ケ丘６丁目,0,,,12,-,-,-,-,-,1,-,1,-,2,-,-,2,-,-,-,5,-,1,-,-,10,1,1
11011600,2,札幌市中央区,伏見,0,,,521,1,1,-,-,22,16,-,23,7,57,5,28,35,42,27,55,105,2,46,19,31,437,53,10
1101160001,3,札幌市中央区,伏見１丁目,0,,,95,-,-,-,-,4,4,-,4,2,12,1,7,9,9,6,5,15,2,7,3,5,77,11,3
1101160002,3,札幌市中央区,伏見２丁目,0,,,131,1,1,-,-,3,5,-,4,1,17,2,7,3,10,10,11,35,-,11,3,8,111,12,-
1101160003,3,札幌市中央区,伏見３丁目,0,,,192,-,-,-,-,12,6,-,11,1,13,1,9,17,18,5,30,39,-,15,11,4,160,23,6
